день,группа,предмет,сложность,температура,осадки,тип погоды,количество пар,номера пар,успеваемость,процент посещаемости
Пятница,4,Безопасность сетей,5,16,True,дождь,3,"[1, 3, 5]",20,51
Вторник,15,Математика,5,34,True,град,2,"[1, 5]",20,38
Понедельник,9,Организация обслуживания в гостиницах,3,33,False,пасмурно,4,"[1, 2, 3, 4]",60,74
Понедельник,11,Эксплуатация компьютерных сетей,4,24,False,солнечно,3,"[1, 2, 4]",40,69
Суббота,11,Криптография,5,30,False,пасмурно,1,[3],20,62
Суббота,15,Обществознание,2,17,False,солнечно,1,[1],44,70
Четверг,5,Методы и средства защиты информации,5,-3,False,солнечно,3,"[1, 2, 3]",25,56
Вторник,5,Основы программирования,5,2,False,туман,3,"[2, 4, 5]",20,42
Понедельник,9,История,2,-5,True,град,5,"[1, 2, 3, 4, 5]",52,64
Суббота,6,Физика,4,21,False,солнечно,2,"[1, 5]",20,34
Суббота,10,Конфигурирование и администрирование сетей,5,30,False,солнечно,2,"[3, 5]",36,63
Четверг,5,Информатика,5,-2,False,туман,3,"[2, 3, 4]",28,68
Пятница,7,Разработка программного обеспечения,5,7,True,град,5,"[1, 2, 3, 4, 5]",30,50
Четверг,6,Математические основы информатики,4,-5,False,солнечно,3,"[1, 3, 5]",32,65
Пятница,11,Техническое обслуживание компьютерных систем,3,10,False,ветер,2,"[2, 3]",54,70
Суббота,3,Безопасность операционных систем и сетей,5,14,False,туман,2,"[1, 4]",20,40
Четверг,9,Веб-технологии,4,12,False,ветер,3,"[1, 2, 5]",20,55
Вторник,8,Сетевые операционные системы,4,18,False,ветер,2,"[4, 5]",25,58
Четверг,6,Эксплуатация компьютерных сетей,4,18,False,ветер,5,"[1, 2, 3, 4, 5]",22,62
Понедельник,2,Сетевые операционные системы,4,5,False,пасмурно,5,"[1, 2, 3, 4, 5]",40,66
Среда,3,Виртуализация и облачные технологии,4,5,False,туман,5,"[1, 2, 3, 4, 5]",30,52
Пятница,14,Информационная безопасность,5,6,False,туман,4,"[1, 2, 4, 5]",33,54
Пятница,3,Архитектура компьютеров,4,4,False,солнечно,2,"[3, 5]",20,44
Среда,12,Основы туризма и гостеприимства,3,-5,False,пасмурно,3,"[1, 3, 5]",64,80
Пятница,5,Базы данных,4,34,False,пасмурно,5,"[1, 2, 3, 4, 5]",23,50
Понедельник,3,Администрирование систем защиты,5,7,False,солнечно,3,"[1, 2, 3]",20,42
Пятница,12,Веб-технологии,4,4,True,град,5,"[1, 2, 3, 4, 5]",20,38
Вторник,3,Безопасность операционных систем и сетей,5,28,False,туман,4,"[1, 2, 4, 5]",20,46
Четверг,3,Веб-технологии,4,30,False,пасмурно,2,"[1, 3]",38,58
Четверг,5,Информатика,5,10,True,снег,4,"[1, 3, 4, 5]",20,30
Среда,4,Операционные системы,4,32,False,солнечно,2,"[1, 2]",33,58
Среда,13,Проектирование информационных систем,4,6,False,солнечно,5,"[1, 2, 3, 4, 5]",42,70
Четверг,13,Основы информационных технологий,4,17,False,туман,4,"[1, 2, 3, 5]",33,59
Четверг,2,Проектирование информационных систем,4,3,True,дождь,2,"[3, 4]",20,44
Суббота,6,Литература,3,24,False,туман,3,"[3, 4, 5]",40,66
Суббота,4,Информатика,5,28,False,пасмурно,3,"[2, 3, 5]",24,55
Среда,8,Маркетинг и менеджмент в сфере услуг,3,11,False,пасмурно,3,"[3, 4, 5]",60,80
Пятница,12,Диагностика и ремонт оборудования,4,32,False,солнечно,2,"[1, 4]",20,43
Четверг,8,Администрирование систем защиты,5,2,False,туман,3,"[1, 2, 5]",38,75
Четверг,11,Базы данных,4,28,True,град,2,"[2, 5]",20,30
Среда,16,Методы и средства защиты информации,5,9,False,туман,2,"[2, 4]",20,50
Понедельник,5,Тестирование программных продуктов,4,32,False,ветер,3,"[2, 3, 5]",20,59
Четверг,1,Операционные системы,4,33,False,туман,4,"[2, 3, 4, 5]",31,58
Вторник,9,Проектирование информационных систем,4,6,False,солнечно,2,"[2, 3]",23,50
Четверг,15,Маркетинг и менеджмент в сфере услуг,3,15,False,пасмурно,2,"[2, 3]",61,83
Четверг,4,Базы данных,4,29,False,туман,5,"[1, 2, 3, 4, 5]",20,57
Вторник,11,Русский язык,3,0,False,туман,5,"[1, 2, 3, 4, 5]",55,77
Понедельник,2,Естествознание,3,20,False,солнечно,4,"[1, 3, 4, 5]",72,83
Вторник,4,Маркетинг и менеджмент в сфере услуг,3,30,False,солнечно,4,"[1, 2, 3, 4]",56,83
Суббота,13,Виртуализация и облачные технологии,4,5,False,туман,3,"[2, 4, 5]",20,39
Понедельник,6,Системное администрирование,4,-1,False,туман,3,"[1, 3, 5]",27,60
Среда,2,Базы данных,4,30,False,солнечно,5,"[1, 2, 3, 4, 5]",31,68
Понедельник,5,Основы информационных технологий,4,25,True,дождь,4,"[1, 2, 3, 4]",20,30
Вторник,7,Обществознание,2,-2,True,град,5,"[1, 2, 3, 4, 5]",55,68
Вторник,4,Веб-технологии,4,22,True,град,5,"[1, 2, 3, 4, 5]",20,45
Вторник,14,Русский язык,3,4,False,ветер,5,"[1, 2, 3, 4, 5]",48,72
Четверг,2,Прикладное программирование,5,19,True,дождь,2,"[4, 5]",20,34
Пятница,6,Организация обслуживания в гостиницах,3,5,True,град,2,"[1, 2]",28,47
Пятница,10,Литература,3,23,False,туман,3,"[3, 4, 5]",53,80
Пятница,10,Разработка программного обеспечения,5,32,False,пасмурно,2,"[2, 4]",28,56
Среда,4,Прикладное программирование,5,2,False,ветер,4,"[1, 2, 3, 5]",26,53
Четверг,6,Литература,3,28,False,солнечно,2,"[2, 5]",60,73
Суббота,14,Математика,5,25,False,солнечно,3,"[1, 2, 5]",20,42
Суббота,11,Безопасность операционных систем и сетей,5,22,True,град,2,"[1, 5]",20,30
Четверг,16,Операционные системы,4,31,False,пасмурно,4,"[1, 2, 3, 5]",20,34
Среда,6,Математика,5,26,False,солнечно,3,"[3, 4, 5]",28,57
Вторник,10,Естествознание,3,18,False,туман,3,"[2, 3, 5]",50,83
Четверг,15,Естествознание,3,3,True,град,4,"[1, 2, 3, 5]",45,64
Четверг,7,Основы сетевых технологий,4,33,True,дождь,3,"[1, 3, 4]",20,30
Суббота,2,Маркетинг и менеджмент в сфере услуг,3,28,False,ветер,2,"[3, 4]",58,81
Пятница,8,Физика,4,-4,False,солнечно,4,"[1, 2, 3, 5]",20,58
Вторник,7,Русский язык,3,13,False,ветер,3,"[1, 2, 3]",78,90
Пятница,2,Веб-технологии,4,-1,False,ветер,5,"[1, 2, 3, 4, 5]",22,51
Четверг,16,Конфигурирование и администрирование сетей,5,6,False,туман,5,"[1, 2, 3, 4, 5]",21,63
Пятница,8,Архитектура компьютеров,4,2,False,ветер,5,"[1, 2, 3, 4, 5]",25,50
Среда,15,Диагностика и ремонт оборудования,4,34,False,ветер,4,"[1, 3, 4, 5]",24,44
Понедельник,6,Тестирование программных продуктов,4,20,False,туман,3,"[1, 2, 5]",20,57
Понедельник,16,Основы программирования,5,8,False,ветер,2,"[2, 5]",26,59
Понедельник,4,Проектно-исследовательская деятельность,4,17,False,пасмурно,2,"[2, 5]",30,65
Пятница,1,Математические основы информатики,4,4,False,солнечно,5,"[1, 2, 3, 4, 5]",20,47
Суббота,6,Тестирование программных продуктов,4,28,False,туман,2,"[1, 5]",20,34
Среда,5,Математика,5,30,False,ветер,4,"[2, 3, 4, 5]",28,60
Понедельник,2,Виртуализация и облачные технологии,4,31,False,пасмурно,5,"[1, 2, 3, 4, 5]",27,50
Понедельник,1,Веб-технологии,4,16,False,ветер,3,"[1, 3, 5]",39,67
Среда,5,Обществознание,2,20,False,пасмурно,5,"[1, 2, 3, 4, 5]",48,74
Четверг,15,Системное администрирование,4,4,True,дождь,5,"[1, 2, 3, 4, 5]",20,45
Понедельник,12,Системное администрирование,4,3,False,солнечно,3,"[1, 2, 4]",23,49
Пятница,2,Основы информационных технологий,4,33,False,солнечно,3,"[2, 4, 5]",20,41
Среда,2,Архитектура компьютеров,4,22,False,пасмурно,5,"[1, 2, 3, 4, 5]",20,48
Понедельник,14,Диагностика и ремонт оборудования,4,-4,False,туман,5,"[1, 2, 3, 4, 5]",33,54
Четверг,11,Математика,5,18,True,дождь,4,"[1, 2, 3, 4]",20,51
Вторник,2,Основы туризма и гостеприимства,3,2,False,ветер,2,"[3, 5]",57,75
Среда,2,Основы туризма и гостеприимства,3,15,False,туман,3,"[1, 2, 3]",66,77
Среда,14,Архитектура компьютеров,4,11,True,град,5,"[1, 2, 3, 4, 5]",20,34
Понедельник,15,Веб-технологии,4,8,False,пасмурно,2,"[4, 5]",20,51
Пятница,9,Естествознание,3,34,False,пасмурно,2,"[1, 3]",66,75
Вторник,3,Проектирование информационных систем,4,10,False,ветер,2,"[3, 4]",22,48
Пятница,8,Основы информационных технологий,4,-3,False,туман,2,"[2, 3]",20,53
Четверг,6,Проектно-исследовательская деятельность,4,28,False,пасмурно,2,"[2, 5]",28,51
Пятница,14,Виртуализация и облачные технологии,4,31,True,дождь,3,"[1, 3, 5]",20,33
Четверг,14,Литература,3,5,True,дождь,3,"[3, 4, 5]",40,60
Суббота,10,Сетевые операционные системы,4,-4,False,туман,3,"[2, 3, 4]",20,47
Четверг,7,Основы информационных технологий,4,22,True,снег,5,"[1, 2, 3, 4, 5]",20,50
Суббота,5,Архитектура компьютеров,4,19,False,пасмурно,2,"[1, 5]",20,58
Четверг,15,Виртуализация и облачные технологии,4,27,False,солнечно,4,"[1, 2, 4, 5]",20,66
Вторник,4,Системное администрирование,4,20,True,снег,2,"[4, 5]",20,30
Пятница,12,Тестирование программных продуктов,4,23,False,пасмурно,2,"[1, 2]",23,56
Пятница,5,Основы сетевых технологий,4,12,False,солнечно,5,"[1, 2, 3, 4, 5]",29,69
Среда,11,Методы и средства защиты информации,5,20,False,солнечно,2,"[1, 4]",30,54
Вторник,10,Основы сетевых технологий,4,20,True,град,4,"[1, 2, 4, 5]",20,34
Вторник,13,Прикладное программирование,5,3,False,ветер,3,"[1, 3, 4]",33,68
Суббота,2,Виртуализация и облачные технологии,4,-5,True,град,2,"[2, 4]",21,47
Вторник,6,Основы информационных технологий,4,5,True,снег,2,"[2, 3]",20,47
Понедельник,9,Математические основы информатики,4,18,False,солнечно,5,"[1, 2, 3, 4, 5]",24,55
Понедельник,12,Основы программирования,5,11,True,дождь,2,"[2, 5]",23,45
Среда,1,Криптография,5,31,False,ветер,2,"[2, 3]",20,44
Вторник,10,Криптография,5,34,False,туман,5,"[1, 2, 3, 4, 5]",20,33
Среда,4,Техническое обслуживание компьютерных систем,3,23,False,ветер,4,"[1, 2, 3, 4]",70,83
Пятница,15,Математические основы информатики,4,19,False,ветер,5,"[1, 2, 3, 4, 5]",25,70
Суббота,8,Геометрия,4,30,True,град,3,"[1, 2, 3]",20,30
Вторник,14,Геометрия,4,16,True,дождь,5,"[1, 2, 3, 4, 5]",20,43
Пятница,5,Базы данных,4,18,False,ветер,3,"[1, 3, 4]",39,68
Понедельник,13,Проектирование информационных систем,4,34,False,пасмурно,5,"[1, 2, 3, 4, 5]",20,34
Пятница,10,Архитектура компьютеров,4,21,False,ветер,2,"[3, 4]",26,62
Среда,14,Базы данных,4,7,True,снег,4,"[1, 2, 4, 5]",20,40
Пятница,1,Основы сетевых технологий,4,5,False,ветер,4,"[1, 3, 4, 5]",20,65
Четверг,14,Криптография,5,24,False,пасмурно,5,"[1, 2, 3, 4, 5]",20,40
Среда,9,Криптография,5,15,False,пасмурно,3,"[1, 4, 5]",23,50
Четверг,8,Обществознание,2,34,False,солнечно,2,"[1, 3]",54,61
Пятница,12,Веб-технологии,4,15,False,солнечно,5,"[1, 2, 3, 4, 5]",32,61
Среда,16,Веб-технологии,4,16,True,град,5,"[1, 2, 3, 4, 5]",20,42
Среда,15,Эксплуатация компьютерных сетей,4,-3,True,снег,3,"[1, 3, 5]",20,38
Пятница,10,Естествознание,3,2,True,снег,3,"[1, 2, 4]",48,65
Понедельник,15,Разработка программного обеспечения,5,3,True,дождь,4,"[1, 2, 3, 4]",20,38
Суббота,12,Литература,3,0,False,ветер,2,"[4, 5]",49,64
Четверг,10,Математика,5,16,True,дождь,4,"[2, 3, 4, 5]",26,52
Вторник,3,Архитектура компьютеров,4,-2,False,туман,2,"[1, 5]",20,48
Пятница,15,Геометрия,4,18,False,пасмурно,4,"[1, 2, 4, 5]",20,49
Понедельник,13,Информационная безопасность,5,-4,False,пасмурно,5,"[1, 2, 3, 4, 5]",24,44
Понедельник,15,Тестирование программных продуктов,4,4,False,солнечно,2,"[2, 5]",20,67
Вторник,2,Веб-технологии,4,6,True,снег,3,"[2, 3, 4]",20,39
Пятница,13,Маркетинг и менеджмент в сфере услуг,3,35,False,туман,2,"[2, 5]",48,70
Среда,6,Физика,4,22,True,дождь,2,"[3, 5]",20,30
Четверг,4,Основы сетевых технологий,4,21,True,снег,3,"[1, 2, 4]",20,34
Пятница,15,Обществознание,2,13,False,пасмурно,5,"[1, 2, 3, 4, 5]",58,71
Пятница,5,Естествознание,3,22,False,ветер,2,"[1, 2]",51,81
Пятница,5,Геометрия,4,31,False,пасмурно,5,"[1, 2, 3, 4, 5]",24,63
Среда,9,Организация обслуживания в гостиницах,3,18,False,туман,4,"[2, 3, 4, 5]",55,72
Понедельник,4,Прикладное программирование,5,12,True,дождь,4,"[1, 2, 3, 5]",20,52
Вторник,7,Естествознание,3,10,False,ветер,3,"[2, 3, 4]",61,78
Понедельник,7,Операционные системы,4,29,False,ветер,4,"[1, 2, 4, 5]",22,53
Пятница,5,Сетевые операционные системы,4,27,True,дождь,2,"[3, 5]",20,37
Суббота,15,Безопасность сетей,5,13,False,туман,1,[5],20,51
Четверг,7,Сетевые операционные системы,4,8,False,солнечно,2,"[1, 5]",23,43
Суббота,10,Виртуализация и облачные технологии,4,1,False,ветер,3,"[1, 2, 5]",25,56
Пятница,8,Операционные системы,4,11,False,пасмурно,4,"[1, 2, 3, 4]",21,50
Среда,8,Основы туризма и гостеприимства,3,6,False,ветер,2,"[4, 5]",74,90
Пятница,6,Геометрия,4,17,False,пасмурно,5,"[1, 2, 3, 4, 5]",20,43
Пятница,13,Виртуализация и облачные технологии,4,18,False,туман,4,"[1, 2, 4, 5]",33,69
Среда,7,Сетевые операционные системы,4,17,True,снег,5,"[1, 2, 3, 4, 5]",20,42
Пятница,2,Разработка программного обеспечения,5,4,True,град,2,"[2, 4]",20,45
Среда,15,Администрирование систем защиты,5,24,False,ветер,3,"[1, 4, 5]",22,47
Среда,16,Сетевые операционные системы,4,-4,True,снег,3,"[1, 2, 3]",20,30
Понедельник,9,Прикладное программирование,5,34,False,пасмурно,2,"[3, 5]",20,37
Суббота,3,Основы информационных технологий,4,15,False,солнечно,3,"[2, 3, 4]",37,58
Суббота,10,Основы информационных технологий,4,2,False,пасмурно,3,"[2, 3, 4]",20,41
Вторник,3,Безопасность сетей,5,5,True,град,2,"[4, 5]",27,52
Среда,1,Тестирование программных продуктов,4,35,False,солнечно,5,"[1, 2, 3, 4, 5]",23,56
Понедельник,6,Тестирование программных продуктов,4,9,False,ветер,5,"[1, 2, 3, 4, 5]",27,55
Суббота,1,Безопасность операционных систем и сетей,5,-3,False,туман,2,"[3, 5]",20,45
Суббота,14,Основы программирования,5,-4,False,туман,1,[4],20,43
Пятница,13,Сетевые операционные системы,4,19,False,пасмурно,3,"[3, 4, 5]",25,51
Понедельник,14,Тестирование программных продуктов,4,11,False,ветер,4,"[1, 3, 4, 5]",37,69
Пятница,4,Веб-технологии,4,9,False,пасмурно,3,"[2, 3, 5]",20,42
Пятница,9,Математические основы информатики,4,15,False,туман,2,"[1, 2]",20,41
Пятница,16,Криптография,5,16,True,снег,4,"[2, 3, 4, 5]",20,40
Понедельник,13,Математические основы информатики,4,26,False,пасмурно,2,"[1, 3]",25,50
Пятница,9,Эксплуатация компьютерных сетей,4,8,False,ветер,2,"[3, 5]",24,45
Четверг,10,Основы туризма и гостеприимства,3,34,True,снег,4,"[1, 2, 4, 5]",32,49
Суббота,12,Организация обслуживания в гостиницах,3,33,False,пасмурно,1,[4],35,53
Вторник,2,Веб-технологии,4,-1,False,туман,4,"[1, 2, 3, 4]",31,54
Пятница,2,Криптография,5,26,True,снег,5,"[1, 2, 3, 4, 5]",20,43
Вторник,6,Архитектура компьютеров,4,13,True,дождь,3,"[1, 4, 5]",20,30
Среда,11,Литература,3,31,False,солнечно,2,"[4, 5]",44,68
Вторник,3,Виртуализация и облачные технологии,4,32,False,туман,5,"[1, 2, 3, 4, 5]",31,51
Четверг,14,Сетевые операционные системы,4,27,False,пасмурно,2,"[1, 4]",25,58
Понедельник,1,Информатика,5,22,True,дождь,3,"[1, 2, 3]",20,34
Среда,16,Организация обслуживания в гостиницах,3,27,False,туман,5,"[1, 2, 3, 4, 5]",65,89
Понедельник,1,Разработка программного обеспечения,5,0,False,солнечно,2,"[1, 3]",20,47
Вторник,10,Веб-технологии,4,25,False,туман,3,"[1, 2, 3]",20,50
Суббота,11,Информатика,5,27,False,пасмурно,3,"[2, 3, 5]",31,60
Пятница,4,Проектно-исследовательская деятельность,4,13,False,ветер,5,"[1, 2, 3, 4, 5]",26,65
Суббота,15,Информатика,5,12,True,град,3,"[1, 2, 3]",22,50
Среда,6,Сетевые операционные системы,4,15,False,пасмурно,2,"[4, 5]",20,46
Среда,4,Обществознание,2,10,False,туман,2,"[1, 3]",52,85
Среда,5,Техническое обслуживание компьютерных систем,3,-3,True,град,5,"[1, 2, 3, 4, 5]",50,69
Четверг,5,Естествознание,3,21,False,туман,2,"[3, 4]",66,77
Среда,5,Литература,3,2,False,ветер,5,"[1, 2, 3, 4, 5]",55,83
Четверг,12,Маркетинг и менеджмент в сфере услуг,3,20,False,пасмурно,4,"[1, 2, 3, 4]",66,77
Четверг,5,Прикладное программирование,5,-5,True,снег,2,"[2, 3]",20,35
Среда,4,Техническое обслуживание компьютерных систем,3,31,False,туман,5,"[1, 2, 3, 4, 5]",42,66
Четверг,10,Операционные системы,4,29,False,пасмурно,4,"[1, 2, 4, 5]",27,69
Понедельник,6,Методы и средства защиты информации,5,-5,True,снег,4,"[1, 2, 3, 5]",20,30
Пятница,8,Методы и средства защиты информации,5,35,False,туман,2,"[2, 3]",20,45
Пятница,8,Информатика,5,13,False,туман,4,"[1, 2, 3, 4]",20,41
Пятница,10,Проектно-исследовательская деятельность,4,29,False,туман,2,"[1, 2]",23,60
Суббота,13,Обществознание,2,16,False,туман,1,[2],54,67
Вторник,6,Проектно-исследовательская деятельность,4,24,False,туман,3,"[1, 2, 4]",25,58
Суббота,13,Естествознание,3,13,True,дождь,1,[2],31,39
Пятница,9,Безопасность операционных систем и сетей,5,-2,False,солнечно,2,"[3, 5]",20,45
Вторник,9,Криптография,5,35,False,пасмурно,2,"[1, 5]",20,38
Понедельник,14,Основы туризма и гостеприимства,3,28,False,туман,4,"[1, 2, 3, 5]",51,81
Суббота,15,Информационная безопасность,5,11,False,пасмурно,2,"[2, 3]",23,53
Среда,6,Базы данных,4,20,True,дождь,4,"[1, 3, 4, 5]",20,40
Пятница,6,Организация обслуживания в гостиницах,3,2,False,туман,3,"[2, 4, 5]",44,70
Четверг,12,Эксплуатация компьютерных сетей,4,21,False,пасмурно,5,"[1, 2, 3, 4, 5]",27,70
Пятница,2,Базы данных,4,20,False,ветер,4,"[1, 3, 4, 5]",27,55
Четверг,13,Криптография,5,-3,False,ветер,5,"[1, 2, 3, 4, 5]",31,69
Пятница,10,Информатика,5,-2,True,снег,3,"[1, 3, 4]",20,44
Понедельник,15,Диагностика и ремонт оборудования,4,22,True,снег,5,"[1, 2, 3, 4, 5]",20,30
Понедельник,5,Обществознание,2,29,False,солнечно,2,"[1, 2]",64,87
Четверг,13,Естествознание,3,12,True,снег,4,"[1, 3, 4, 5]",53,71
Четверг,10,Математика,5,5,True,снег,4,"[2, 3, 4, 5]",21,43
Четверг,1,Прикладное программирование,5,11,True,снег,2,"[3, 5]",20,32
Пятница,5,Информационная безопасность,5,34,True,град,2,"[1, 5]",20,30
Пятница,11,Физика,4,30,False,пасмурно,4,"[1, 2, 4, 5]",30,71
Суббота,13,Виртуализация и облачные технологии,4,29,True,дождь,3,"[1, 2, 3]",20,30
Четверг,1,Естествознание,3,21,False,ветер,4,"[1, 2, 3, 5]",75,84
Вторник,6,Архитектура компьютеров,4,18,False,пасмурно,3,"[1, 3, 5]",27,55
Пятница,1,Архитектура компьютеров,4,-1,True,град,4,"[1, 2, 3, 5]",20,48
Вторник,16,Основы туризма и гостеприимства,3,1,False,туман,4,"[1, 2, 3, 4]",73,87
Пятница,10,Методы и средства защиты информации,5,23,False,туман,4,"[1, 3, 4, 5]",23,59
Четверг,3,Криптография,5,33,False,солнечно,2,"[1, 5]",20,36
Среда,9,Основы туризма и гостеприимства,3,23,False,туман,2,"[2, 5]",67,82
Суббота,11,Литература,3,24,True,снег,1,[3],44,59
Среда,11,Основы информационных технологий,4,25,False,пасмурно,3,"[1, 4, 5]",31,68
Суббота,10,Методы и средства защиты информации,5,35,False,солнечно,2,"[2, 5]",24,51
Четверг,5,Проектирование информационных систем,4,16,False,ветер,2,"[3, 5]",24,46
Среда,14,Операционные системы,4,13,False,солнечно,4,"[1, 2, 4, 5]",27,55
Вторник,4,Физика,4,27,True,дождь,5,"[1, 2, 3, 4, 5]",20,43
Суббота,3,Физика,4,-3,False,солнечно,3,"[2, 4, 5]",30,58
Пятница,6,Информационная безопасность,5,34,True,дождь,4,"[1, 2, 4, 5]",20,36
Понедельник,13,Системное администрирование,4,4,True,дождь,5,"[1, 2, 3, 4, 5]",20,30
Понедельник,11,Разработка программного обеспечения,5,22,False,ветер,3,"[1, 3, 5]",32,70
Четверг,12,Основы сетевых технологий,4,31,True,снег,5,"[1, 2, 3, 4, 5]",20,30
Среда,14,Разработка программного обеспечения,5,-4,False,солнечно,5,"[1, 2, 3, 4, 5]",37,69
Среда,5,Основы информационных технологий,4,13,True,град,5,"[1, 2, 3, 4, 5]",24,48
Четверг,14,Информатика,5,20,False,пасмурно,2,"[2, 5]",28,55
Вторник,14,Тестирование программных продуктов,4,-4,False,солнечно,4,"[1, 2, 4, 5]",20,41
Вторник,13,Виртуализация и облачные технологии,4,17,False,ветер,5,"[1, 2, 3, 4, 5]",20,66
Вторник,14,Веб-технологии,4,7,True,град,3,"[1, 4, 5]",23,54
Четверг,10,Естествознание,3,9,True,снег,4,"[1, 2, 3, 5]",46,56
Понедельник,6,Техническое обслуживание компьютерных систем,3,21,False,ветер,5,"[1, 2, 3, 4, 5]",68,79
Четверг,6,Геометрия,4,0,False,ветер,3,"[1, 2, 3]",26,54
Пятница,12,Основы туризма и гостеприимства,3,30,False,туман,4,"[1, 3, 4, 5]",57,75
Четверг,16,Веб-технологии,4,9,True,снег,2,"[2, 3]",20,30
Вторник,8,Естествознание,3,2,False,туман,3,"[1, 3, 5]",58,88
Четверг,9,Основы программирования,5,17,False,ветер,5,"[1, 2, 3, 4, 5]",23,65
Суббота,15,Криптография,5,10,False,туман,3,"[1, 4, 5]",20,41
Суббота,13,Естествознание,3,-2,False,пасмурно,1,[4],63,72
Вторник,5,Основы информационных технологий,4,20,False,солнечно,5,"[1, 2, 3, 4, 5]",41,73
Вторник,14,Безопасность сетей,5,2,True,снег,2,"[1, 5]",20,30
Понедельник,4,Информатика,5,34,False,пасмурно,2,"[2, 4]",33,54
Суббота,4,Архитектура компьютеров,4,23,True,снег,1,[3],20,30
Среда,12,Диагностика и ремонт оборудования,4,5,True,град,3,"[2, 4, 5]",20,32
Суббота,3,Виртуализация и облачные технологии,4,0,False,туман,1,[2],20,42
Пятница,4,Физика,4,1,False,ветер,4,"[1, 2, 3, 4]",40,71
Суббота,15,Математика,5,15,False,пасмурно,3,"[1, 4, 5]",23,53
Среда,6,Виртуализация и облачные технологии,4,20,False,пасмурно,5,"[1, 2, 3, 4, 5]",20,64
Среда,12,Базы данных,4,25,False,туман,4,"[2, 3, 4, 5]",38,68
Вторник,6,Архитектура компьютеров,4,28,False,туман,3,"[1, 3, 4]",26,60
Среда,6,Информатика,5,22,True,град,3,"[1, 3, 4]",20,42
Пятница,5,Техническое обслуживание компьютерных систем,3,25,False,туман,3,"[1, 2, 4]",53,75
Вторник,6,Сетевые операционные системы,4,-5,True,град,3,"[1, 2, 4]",20,30
Вторник,2,Организация обслуживания в гостиницах,3,32,True,дождь,3,"[2, 3, 4]",36,43
Пятница,16,Прикладное программирование,5,25,False,пасмурно,4,"[1, 3, 4, 5]",29,64
Четверг,3,Естествознание,3,31,True,град,3,"[1, 2, 4]",39,51
Вторник,16,Сетевые операционные системы,4,-3,False,туман,3,"[2, 3, 5]",21,52
Четверг,12,Криптография,5,1,False,пасмурно,5,"[1, 2, 3, 4, 5]",21,52
Суббота,1,Прикладное программирование,5,17,False,ветер,2,"[2, 4]",31,56
Среда,2,Основы сетевых технологий,4,16,False,ветер,5,"[1, 2, 3, 4, 5]",38,72
Вторник,5,Техническое обслуживание компьютерных систем,3,4,False,ветер,3,"[1, 3, 5]",53,87
Понедельник,5,Базы данных,4,24,False,солнечно,5,"[1, 2, 3, 4, 5]",27,56
Суббота,16,Информатика,5,18,True,снег,2,"[1, 3]",20,30
Понедельник,2,Криптография,5,34,False,туман,2,"[2, 3]",22,54
Вторник,8,История,2,-5,False,пасмурно,5,"[1, 2, 3, 4, 5]",60,87
Пятница,15,Архитектура компьютеров,4,10,False,туман,5,"[1, 2, 3, 4, 5]",24,52
Четверг,2,Методы и средства защиты информации,5,11,False,солнечно,5,"[1, 2, 3, 4, 5]",20,53
Вторник,7,Безопасность операционных систем и сетей,5,6,True,дождь,5,"[1, 2, 3, 4, 5]",21,47
Вторник,1,Техническое обслуживание компьютерных систем,3,20,False,туман,5,"[1, 2, 3, 4, 5]",51,73
Суббота,15,Криптография,5,-1,True,снег,3,"[1, 2, 5]",20,33
Вторник,8,Математические основы информатики,4,29,False,пасмурно,2,"[2, 4]",30,62
Вторник,10,История,2,35,False,туман,2,"[1, 3]",42,67
Понедельник,6,Прикладное программирование,5,24,False,ветер,3,"[2, 3, 4]",33,68
Четверг,13,Архитектура компьютеров,4,33,False,солнечно,5,"[1, 2, 3, 4, 5]",28,60
Четверг,9,Сетевые операционные системы,4,22,True,снег,2,"[1, 2]",20,30
Понедельник,7,Информационная безопасность,5,27,False,туман,5,"[1, 2, 3, 4, 5]",37,69
Пятница,8,Архитектура компьютеров,4,9,False,солнечно,3,"[2, 4, 5]",24,57
Пятница,4,Тестирование программных продуктов,4,-5,False,солнечно,2,"[2, 3]",27,50
Пятница,3,Обществознание,2,13,False,пасмурно,5,"[1, 2, 3, 4, 5]",81,90
Понедельник,4,Прикладное программирование,5,17,False,ветер,2,"[1, 5]",44,72
Среда,14,Математика,5,20,False,солнечно,4,"[1, 2, 4, 5]",20,44
Пятница,12,Виртуализация и облачные технологии,4,9,False,ветер,2,"[3, 4]",23,73
Четверг,5,Проектирование информационных систем,4,26,False,туман,3,"[2, 3, 5]",37,61
Среда,12,Маркетинг и менеджмент в сфере услуг,3,21,True,град,4,"[1, 3, 4, 5]",46,70
Суббота,10,Проектирование информационных систем,4,10,False,туман,3,"[1, 2, 4]",34,63
Четверг,8,Разработка программного обеспечения,5,20,False,пасмурно,3,"[1, 3, 4]",20,56
Среда,7,Техническое обслуживание компьютерных систем,3,-4,False,пасмурно,4,"[2, 3, 4, 5]",43,70
Понедельник,3,Геометрия,4,-5,False,пасмурно,5,"[1, 2, 3, 4, 5]",20,52
Среда,12,Архитектура компьютеров,4,16,False,ветер,3,"[1, 2, 4]",32,66
Четверг,5,Маркетинг и менеджмент в сфере услуг,3,26,False,туман,3,"[1, 2, 5]",63,79
Пятница,1,Операционные системы,4,0,False,солнечно,3,"[1, 2, 4]",20,56
